DATE,UNE,SUBMARCA,MERCADO,VENTA_PRECIOLISTAOTB
2020-12-01,CALZADO,CLOEMOM&BABY,M2,0.0
2020-12-01,CALZADO,CLOESEXTOSENTIDO,M1,0.0
2020-12-01,CALZADO,CLOESEXTOSENTIDO,M2,0.0
2020-12-01,CALZADO,CLOEUOMO,M1,0.0
2020-12-01,CALZADO,CLOEUOMO,M2,0.0
2020-12-01,CALZADO,LUCENTZZA,M1,0.0
2020-12-01,CALZADO,LUCENTZZA,M2,0.0
2020-12-01,CALZADO,X,M1,0.0
2020-12-01,CALZADO,X,M2,0.0
2020-12-01,CALZADO,Y,M1,0.0
2020-12-01,CALZADO,Y,M2,0.0
2020-12-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M1,14.160750016437001
2020-12-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M2,35.0
2020-12-01,COSMETIQUERA,CLOE,M1,880.1845151050001
2020-12-01,COSMETIQUERA,CLOE,M2,42.0
2020-12-01,COSMETIQUERA,CLOEGIRLS,M1,0.0
2020-12-01,COSMETIQUERA,CLOEGIRLS,M2,0.0
2020-12-01,COSMETIQUERA,CLOELEATHER,M1,0.0
2020-12-01,COSMETIQUERA,CLOELEATHER,M2,0.0
2020-12-01,COSMETIQUERA,CLOEMOM&BABY,M1,0.0
2020-12-01,COSMETIQUERA,CLOEMOM&BABY,M2,0.0
2020-12-01,COSMETIQUERA,CLOESEXTOSENTIDO,M1,0.0
2020-12-01,COSMETIQUERA,CLOESEXTOSENTIDO,M2,0.0
2020-12-01,COSMETIQUERA,CLOEUOMO,M1,0.0
2020-12-01,COSMETIQUERA,CLOEUOMO,M2,0.0
2020-12-01,COSMETIQUERA,LUCENTZZA,M1,0.0
2020-12-01,COSMETIQUERA,LUCENTZZA,M2,0.0
2020-12-01,COSMETIQUERA,X,M1,0.0
2020-12-01,COSMETIQUERA,X,M2,0.0
2020-12-01,COSMETIQUERA,Y,M1,0.0
2020-12-01,COSMETIQUERA,Y,M2,0.0
2020-12-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,M1,72.6198661354
2020-12-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,M2,0.0
2020-12-01,EQUIPAJE,CLOE,M1,13079.981416319999
2020-12-01,EQUIPAJE,CLOE,M2,21.0
2020-12-01,EQUIPAJE,CLOEGIRLS,M1,0.0
2020-12-01,EQUIPAJE,CLOEGIRLS,M2,0.0
2020-12-01,EQUIPAJE,CLOELEATHER,M1,0.0
2020-12-01,EQUIPAJE,CLOELEATHER,M2,0.0
2020-12-01,EQUIPAJE,CLOEMOM&BABY,M1,0.0
2020-12-01,EQUIPAJE,CLOEMOM&BABY,M2,0.0
2020-12-01,EQUIPAJE,CLOESEXTOSENTIDO,M1,0.0
2020-12-01,EQUIPAJE,CLOESEXTOSENTIDO,M2,0.0
2020-12-01,EQUIPAJE,CLOEUOMO,M1,216.65657956650008
2020-12-01,EQUIPAJE,CLOEUOMO,M2,28.0
